Status [1]	Topic	Objective Description	Baseline Value	Baseline Year	Final Value [2]	Final Year	Target	Movement Toward Target [3]	Movement Away From Baseline [4] (if movement not toward target)	Movement Statistically Significant [5][6]
2	Adolescent Health	AH-5.1. Students graduating from high school within 4 years of starting 9th grade (percent)	79	2010–2011	85	2016–2017	87	75.0	...	...
1	Adolescent Health	AH-5.2. Students served under the Individuals with Disabilities Education Act who graduate high school with a diploma (percent, ages 14–21)	59.1	2007–2008	70.5	2016–2017	65.0	193.2	...	...
1	Adolescent Health	AH-5.3.1. Fourth graders whose reading skills are at or above grade level (percent)	33.0	2009	36.6	2017	36.3	109.1	...	Yes
1	Adolescent Health	AH-5.3.2. Eighth graders whose reading skills are at or above grade level (percent)	32.4	2009	36.1	2017	35.6	115.6	...	Yes
2	Adolescent Health	AH-5.3.3. Twelfth graders whose reading skills are at or above grade level (percent)	35.4	2005	37.4	2015	38.9	57.1	...	Yes
2	Adolescent Health	AH-5.4.1. Fourth graders whose mathematics skills are at or above grade level (percent)	39.1	2009	40.2	2017	43.0	28.2	...	Yes
3	Adolescent Health	AH-5.4.2 .Eighth graders whose mathematics skills are at or above grade level (percent)	33.9	2009	34.3	2017	37.3	11.8	...	No
3	Adolescent Health	AH-5.4.3. Twelfth graders whose mathematics skills are at or above grade level (percent)	23.0	2005	24.5	2015	25.3	65.2	...	No
4	Adolescent Health	AH-5.5. Adolescents who consider school work to be meaningful and important (percent, ages 12–17)	26.4	2008	23.4	2018	29.0	...	11.4	Yes
3	Adolescent Health	AH-5.6. Adolescents missing school for 11 or more days due to illness or injury (percent, ages 12–17)	5.0	2008	5.0	2018	3.6	...	0.0	...
1	Adolescent Health	AH-6. Schools with a school breakfast program (percent, elementary, middle, and high schools)	68.6	2006	77.1	2014	75.5	123.2	...	Yes
1	Adolescent Health	AH-7. Adolescents who have been offered, sold, or given an illegal drug on school property (percent, grades 9–12)	22.7	2009	19.8	2017	20.4	126.1	...	No
2	Adolescent Health	AH-8. Adolescents whose parents consider them to be safe at school (percent, ages 12–17)	86.4	2007	90.9	2011–2012	95.0	52.3	...	Yes
1	Adolescent Health	AH-9. Proportion of middle and high schools that prohibit harassment based on a student’s sexual orientation or gender identity (median of reporting states)	88.2	2010	94.1	2016	92.2	147.5	...	...
3	Adolescent Health	AH-10. Schools with a serious violent incident (percent)	17.2	2007–2008	16.4	2009–2010	15.5	47.1	...	No
1	Adolescent Health	AH-11.1. Arrests of minors and young adults for serious violent crimes (per 100,000 population, ages 10–24)	444.0	2008	323.5	2012	399.6	271.4	...	...
1	Adolescent Health	AH-11.2. Arrests of minors and young adults for serious property crimes (per 100,000 population, ages 10–24)	1,526.7	2008	714.7	2017	1,374.0	531.8	...	...
3	Adolescent Health	AH-11.3. Secondary school students who report the presence of gangs at school (percent, ages 12–18)	12.4	2013	10.7	2015	10.4	85.0	...	No
5	Adolescent Health	AH-11.4. Youth victimization from crimes of violence (per 1,000 population, ages 12–24)	42.0	2013	...		37.8	...	...	...
3	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-1. Mean level of joint pain among adults with arthritis (age adjusted, mean, ages 18 and over)	5.6	2006	5.7	2014	5.0	...	1.8	No
3	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-2. Adults with activity limitations due to arthritis (age-adjusted percent, ages 18 and over)	39.4	2008	41.1	2018	35.5	...	4.3	No
3	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-3.1. Adults with arthritis who have difficulty walking a quarter mile (age-adjusted percent, ages 18 and over)	15.2	2008	16.1	2018	13.7	...	5.9	No
3	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-3.2. Adults with arthritis who have difficulty climbing 10 steps without resting (age-adjusted percent, ages 18 and over)	10.8	2008	11.5	2018	9.7	...	6.5	No
3	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-3.3. Adults with arthritis who have difficulty stooping, bending, or kneeling (age-adjusted percent, ages 18 and over)	21.7	2008	21.9	2018	19.5	...	0.9	No
3	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-3.4. Adults with arthritis who have difficulty grasping or handling small objects (age-adjusted percent, ages 18 and over)	4.4	2008	4.2	2018	4.0	50.0	...	No
4	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-4. Personal care limitations in adults with arthritis (age-adjusted percent, ages 18 and over)	2.7	2008	3.7	2018	2.4	...	37.0	Yes
4	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-5. Serious psychological distress in adults with arthritis (age-adjusted percent, ages 18 and over)	7.3	2008	9.7	2018	6.6	...	32.9	Yes
3	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-6.1. Unemployment rate among adults with arthritis (age-adjusted percent, ages 18–64)	34.0	2008	34.1	2018	30.5	...	0.3	No
3	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-6.2. Adults with arthritis limited in their ability to work for pay (age-adjusted percent, ages 18–64 )	33.1	2006	33.0	2014	29.8	3.0	...	No
1	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-7.1. Overweight and obese adults with arthritis counseled for weight reduction (age-adjusted percent, ages 18 and over)	41.2	2006	45.3	2014	45.3	100.0	...	Yes
1	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-7.2. Adults with arthritis counseled for physical activity or exercise (age-adjusted percent, ages 18 and over)	52.2	2006	61.0	2014	57.4	169.2	...	Yes
3	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-8. Adults with arthritis receiving arthritis education (age-adjusted percent, ages 18 and over)	10.6	2006	11.4	2014	11.7	72.7	...	No
2	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-9. Adults with chronic joint symptoms seeing a health care provider for their symptoms (age-adjusted percent, ages 18 and over)	72.0	2008	74.0	2018	79.2	27.8	...	Yes
4	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-10. Adults with osteoporosis (age-adjusted percent, ages 50 and over)	5.9	2005–2008	7.3	2013–2014	5.3	...	23.7	Yes
3	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-11.1. Hip fracture hospitalizations among females (age adjusted per 100,000 population, ages 65 and over)	823.5	2007	778.2	2010	741.2	55.0	...	No
3	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-11.2. Hip fracture hospitalizations among males (age adjusted per 100,000 population, ages 65 and over)	464.9	2007	442.6	2010	418.4	48.0	...	No
4	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-12. Adults with activity limitations due to chronic back conditions (age adjusted per 1,000 population, ages 18 and over)	30.7	2008	33.5	2018	27.6	...	9.1	Yes
6	Arthritis, Osteoporosis, and Chronic Back Conditions	AOCBC-13. Adults with high-impact chronic pain (age-adjusted percent, ages 18 and over)	7.5	2016	6.7	2017	...	...	...	...
3	Blood Disorders and Blood Safety	BDBS-15. Persons with von Willebrand disease diagnosed by age 21 (percent)	69.7	2012	69.7	2018	76.7	…	0.0	…
1	Blood Disorders and Blood Safety	BDBS-16. Persons with severe hemophilia who experience more than four joint bleeds (percent)	15.9	2015	12.6	2018	14.3	206.3	…	…
3	Blood Disorders and Blood Safety	BDBS-17. Persons donating blood (age-adjusted percent, 18 and over)	6.1	2008	5.7	2016	6.7	…	6.6	No
1	Cancer	C-1. Overall cancer deaths (age adjusted, per 100,000 population)	179.3	2007	152.5	2017	161.4	149.7	…	Yes
1	Cancer	C-2. Lung cancer deaths (age adjusted, per 100,000 population)	50.6	2007	36.6	2017	45.5	274.5	…	Yes
1	Cancer	C-3. Female breast cancer deaths (age adjusted, per 100,000 population)	23.0	2007	19.9	2017	20.7	134.8	…	Yes
1	Cancer	C-4. Cervical cancer deaths (age adjusted, per 100,000 population)	2.4	2007	2.2	2017	2.2	100.0	…	Yes
1	Cancer	C-5. Colorectal cancer deaths (age adjusted, per 100,000 population)	17.1	2007	13.8	2017	14.5	126.9	…	Yes
3	Cancer	C-6. Oropharyngeal cancer deaths (age adjusted, per 100,000 population)	2.5	2007	2.5	2017	2.3	…	0.0	…
1	Cancer	C-7. Prostate cancer deaths (age adjusted, per 100,000 population)	24.2	2007	18.7	2017	21.8	229.2	…	Yes
1	Cancer	C-8. Melanoma deaths (age adjusted, per 100,000 population)	2.7	2007	2.1	2017	2.4	200.0	…	Yes
1	Cancer	C-9. New cases of invasive colorectal cancer (age adjusted, per 100,000 population)	47.1	2007	37.4	2016	40.0	136.6	…	Yes
2	Cancer	C-10. New cases of invasive uterine cervical cancer (age adjusted, per 100,000 population)	8.1	2007	7.7	2016	7.3	50.0	…	Yes
1	Cancer	C-11. New cases of late-stage female breast cancer (age adjusted, per 100,000 population)	44.7	2007	41.0	2016	42.4	160.9	…	Yes
2	Cancer	C-12. Statewide cancer registries (number of states and the District of Columbia)	43	2006	47	2016	51	50.0	…	…
2	Cancer	C-13. Relative 5-year cancer survival rate (percent)	65.2	2007	66.9	2016	71.7	26.2	…	Yes
4	Cancer	C-15. Women receiving a Pap test within past 3 years (age-adjusted percent, ages 21–65)	84.5	2008	80.5	2018	93.0	…	4.7	Yes
2	Cancer	C-16. Adults receiving colorectal cancer screening based on the most recent guidelines (age-adjusted percent, ages 50–75)	52.1	2008	65.2	2018	70.5	71.2	…	Yes
3	Cancer	C-17. Women receiving a mammogram within past 2 years (age-adjusted percent, ages 50–74)	73.7	2008	72.8	2018	81.1	…	1.2	No
4	Cancer	C-18.1. Women counseled about mammograms (age-adjusted percent, ages 50–74)	69.8	2008	66.7	2015	76.8	…	4.4	Yes
4	Cancer	C-18.2. Women counseled about Pap tests (age-adjusted percent, ages 21–65)	60.2	2008	52.8	2015	66.2	…	12.3	Yes
1	Cancer	C-19. Men ever counseled about advantages and disadvantages of the prostate-specific antigen (PSA) test (age-adjusted percent, ages 40 and over)	14.4	2010	21.3	2018	15.9	460.0	…	Yes
6	Cancer	C-20.1. Adolescents who report sunburn (percent, grades 9–12)	55.8	2015	57.2	2017	…	…	…	…
2	Cancer	C-20.2. Adults reporting sunburn in the past 12 months (age-adjusted percent, ages 18 and over)	37.5	2010	35.3	2015	33.8	59.5	…	Yes
1	Cancer	C-20.3. Adolescents using indoor tanning devices (percent, grades 9–12)	15.6	2009	5.6	2017	14.0	625.0	…	No
1	Cancer	C-20.4. Adults using indoor tanning devices (age-adjusted percent, ages 18 and over)	5.6	2010	3.6	2015	3.6	100.0	…	Yes
3	Cancer	C-20.5. Adolescents using protective measures to prevent skin cancer (percent, grades 9–12)	9.3	2009	10.1	2013	11.2	42.1	…	No
2	Cancer	C-20.6. Adults using protective measures to prevent skin cancer (age-adjusted percent, ages 18 and over)	67.0	2008	70.8	2015	73.7	56.7	…	Yes
3	Chronic Kidney Disease	CKD-1. Persons with chronic kidney disease (age-adjusted percent, ages 18 and over)	14.8	2001–2006	14.6	2007–2012	13.3	13.3	...	No
3	Chronic Kidney Disease	CKD-2. Persons with chronic kidney disease who know they have impaired renal function (age-adjusted percent, ages 45 and over)	9.4	2001–2006	8.4	2007–2012	13.4	...	10.6	No
1	Chronic Kidney Disease	CKD-3. Hospital patients with acute kidney injury who have renal evaluation within 6 months post discharge (percent, ages 65 and over)	11.2	2007	17.6	2016	12.3	581.8	...	Yes
1	Chronic Kidney Disease	CKD-4.1. Persons with chronic kidney disease receiving medical evaluation (percent, ages 65 and over)	25.8	2007	34.0	2016	28.4	315.4	...	Yes
1	Chronic Kidney Disease	CKD-4.2. Persons with type 1 or 2 diabetes and chronic kidney disease receiving medical evaluation (percent, ages 65 and over)	23.0	2007	30.7	2016	25.3	334.8	...	Yes
2	Chronic Kidney Disease	CKD-5. Persons with diabetes and chronic kidney disease receiving recommended treatment (percent, ages 65 and over)	67.4	2007	71.4	2016	76.3	44.9	...	Yes
3	Chronic Kidney Disease	CKD-6.1. Persons with chronic kidney disease and hypertension (age-adjusted percent, ages 18 and over)	22.7	2001–2006	24.0	2007–2012	17.6	...	5.7	No
3	Chronic Kidney Disease	CKD-6.2. Persons with chronic kidney disease: statin use (age-adjusted percent, ages 50 and over)	21.6	2001–2006	21.9	2007–2012	25.6	7.5	...	No
6	Chronic Kidney Disease	CKD-7. Deaths among persons with chronic kidney disease (age adjusted, per 1,000 person years of follow-up, ages 18 and over)	22.2	1999–2004	20.1	2005–2010	...	...	...	...
2	Chronic Kidney Disease	CKD-8. New cases of end-stage renal disease (ESRD) (adjusted for age, sex, and race; per million population)	391.2	2007	358.1	2016	352.0	84.4	...	Yes
2	Chronic Kidney Disease	CKD-9.1. New cases of kidney failure due to diabetes (adjusted for age, sex, and race; per million population)	171.5	2007	166.3	2016	154.4	30.4	...	Yes
2	Chronic Kidney Disease	CKD-9.2. New cases of kidney failure due to diabetes among persons with diabetes (adjusted for age, sex, and race; per million persons with diabetes)	2,614.2	2007	2,411.7	2016	2,354.4	77.9	...	Yes
1	Chronic Kidney Disease	CKD-10. Chronic kidney disease patients under nephrologist's care 12 months or more before renal replacement therapy (percent)	27.3	2007	36.8	2016	30.0	351.9	...	Yes
1	Chronic Kidney Disease	CKD-11.1. Hemodialysis patients using arteriovenous fistulas as primary access mode (percent, ages 18 and over)	46.0	2006	64.1	2016	50.6	393.5	...	Yes
1	Chronic Kidney Disease	CKD-11.2. Hemodialysis patients using catheters as only access mode (percent, ages 18 and over)	29.0	2006	15.9	2016	26.1	451.7	...	Yes
1	Chronic Kidney Disease	CKD-11.3. New hemodialysis patients using arteriovenous fistulas as primary access mode (percent, ages 18 and over)	31.6	2007	34.9	2016	34.8	103.1	...	Yes
4	Chronic Kidney Disease	CKD-12. Dialysis patients on waiting list for or receiving a kidney transplant within 1 year of end-stage renal disease (ESRD) start (percent, under age 70)	16.9	2006	15.8	2016	18.6	...	6.5	Yes
4	Chronic Kidney Disease	CKD-13.1. Persons receiving a kidney transplant within 3 years of end-stage renal disease (ESRD) (percent, under age 70)	18.3	2004	12.7	2013	20.1	...	30.6	Yes
6	Chronic Kidney Disease	CKD-13.2. Persons receiving a preemptive kidney transplant at the start of end-stage renal disease (ESRD) (percent, under age 70)	4.0	2007	4.0	2016	...	...	...	...
1	Chronic Kidney Disease	CKD-14.1. Total deaths among persons on dialysis (per 1,000 patient years at risk)	208.1	2007	173.1	2016	187.4	169.1	...	Yes
1	Chronic Kidney Disease	CKD-14.2. Deaths of persons on dialysis in first 3 months of renal replacement therapy (per 1,000 patient years at risk)	372.2	2007	291.3	2016	335.0	217.5	...	Yes
1	Chronic Kidney Disease	CKD-14.3. Cardiovascular disease deaths among persons on dialysis (per 1,000 patient years at risk)	90.3	2007	67.2	2016	81.3	256.7	...	Yes
4	Chronic Kidney Disease	CKD-14.4. Total deaths among persons with a functioning kidney transplant (per 1,000 patient years at risk)	30.8	2007	33.2	2016	27.8	...	7.8	Yes
1	Chronic Kidney Disease	CKD-14.5. Cardiovascular disease deaths among persons with a functioning kidney transplant (per 1,000 patient years at risk)	5.0	2007	2.6	2016	3.0	120.0	...	Yes
3	Dementias, Including Alzheimer's Disease	DIA-1. Diagnosis awareness among persons with Alzheimer's disease and other dementias or their caregiver (percent, ages 65 and over)	62.0	2007–2009	59.7	2013–2015	68.2	...	3.7	No
3	Dementias, Including Alzheimer's Disease	DIA-2. Preventable hospitalizations among persons with Alzheimer's disease and other dementias (percent, ages 65 and over)	25.3	2006–2008	23.5	2013–2015	22.8	72.0	...	No
1	Diabetes	D-1. New cases of diabetes (age adjusted, per 1,000 population, ages 18–84 years)	8.0	2006–2008	6.5	2016–2018	7.2	187.5	...	Yes
2	Diabetes	D-3. Diabetes-related deaths (age adjusted, per 100,000 population)	74.0	2007	69.2	2017	66.6	64.9	...	Yes
6	Diabetes	D-4. Lower extremity amputations in persons with diagnosed diabetes (age adjusted, per 1,000 population)	3.5	2005–2007	3.4	2008–2010	...	...	...	...
3	Diabetes	D-5.1. Persons with diagnosed diabetes whose A1c value is greater than 9% (age-adjusted percent, ages 18 and over)	18.0	2005–2008	18.7	2013–2016	16.2	...	3.9	No
6	Diabetes	D-5.2. Persons with diagnosed diabetes whose A1c value is less than 7% (age-adjusted percent, ages 18 and over)	53.1	2005–2008	50.6	2013–2016	...	...	...	...
3	Diabetes	D-6. Persons with diagnosed diabetes whose low-density lipoprotein (LDL) cholesterol is under control (age-adjusted percent, ages 18 and over)	53.0	2005–2008	48.4	2013–2016	58.3	...	8.7	No
3	Diabetes	D-7. Persons with diagnosed diabetes whose blood pressure is under control (age-adjusted percent, ages 18 and over)	51.8	2005–2008	56.3	2013–2016	57.0	86.5	...	No
3	Diabetes	D-8. Annual dental examinations among persons with diagnosed diabetes (age-adjusted percent, ages 2 years and over)	55.6	2008	56.4	2018	61.2	14.3	...	No
3	Diabetes	D-9. Annual foot examinations among adults with diagnosed diabetes (age-adjusted percent, ages 18 and over)	69.7	2012	69.8	2017	76.7	1.4	...	No
1	Diabetes	D-10. Annual dilated eye examinations among adults with diagnosed diabetes (age-adjusted percent, ages 18 and over)	53.4	2008	62.3	2017	58.7	167.9	...	Yes
2	Diabetes	D-11. A1c test, at least twice a year among adults with diagnosed diabetes (age-adjusted percent, ages 18 and over)	66.3	2012	70.7	2017	72.9	66.7	...	Yes
1	Diabetes	D-12. Annual urinary microalbumin measurement among Medicare beneficiaries with diagnosed diabetes (percent)	33.6	2007	48.7	2016	37.0	444.1	...	Yes
4	Diabetes	D-13. Self-monitoring of blood glucose at least once daily among adults with diagnosed diabetes (age-adjusted percent, ages 18 and over)	65.9	2012	61.5	2017	72.5	...	6.7	Yes
3	Diabetes	D-14. Diabetes education among persons with diagnosed diabetes (age-adjusted percent, ages 18 and over)	53.1	2012	51.7	2017	58.4	...	2.6	No
3	Diabetes	D-15. Persons with diabetes whose condition has been diagnosed (age-adjusted percent, ages 20 and over)	72.5	2005–2008	75.2	2013–2016	79.8	37.0	...	No
1	Diabetes	D-16.1. Persons with prediabetes who increase their physical activity levels (age-adjusted percent, ages 18 and over)	44.6	2005–2008	55.6	2013–2016	49.1	244.4	...	Yes
1	Diabetes	D-16.2. Persons with prediabetes who are trying to lose weight (age-adjusted percent, ages 18 and over)	50.0	2005–2008	58.7	2013–2016	55.0	174.0	...	Yes
3	Diabetes	D-16.3. Persons with prediabetes who reduce fat or calories in their diet (age-adjusted percent, ages 18 and over)	48.5	2005–2008	51.0	2013–2016	53.4	51.0	...	No
1	Disability and Health	DH-1. Core data systems with standard questions to identify people with disabilities (number)	4	2010	10	2018	8	150.0	…	…
1	Disability and Health	DH-2.1. State health promotion programs for persons with disabilities (number of states and the District of Columbia)	16	2010	19	2019	18	150.0	…	…
2	Disability and Health	DH-2.2. State surveillance programs for caregivers (number of states and the District of Columbia)	6	2010	12	2017	51	13.3	…	…
5	Disability and Health	DH-2.3. State health promotion programs for caregivers (number of states and the District of Columbia)	0	2010	…		16	…	…	…
5	Disability and Health	DH-3. Public health schools and programs that offer graduate-level studies in disability and health (percent)	50.0	2011	…		55.0	…	…	…
1	Disability and Health	DH-4. Barriers to primary care (age-adjusted percent, ages 18 and over)	47.2	2009	41.6	2017	42.5	119.1	…	Yes
3	Disability and Health	DH-5. Youth with special health care needs receiving pediatric-to-adult health care transition planning (percent, ages 12–17 years)	41.2	2005–2006	40.0	2009–2010	45.3	…	2.9	No
3	Disability and Health	DH-6. Persons with epilepsy and uncontrolled seizures receiving appropriate medical care (percent, ages 18 and over)	57.7	2010	60.1	2017	63.5	41.4	…	No
2	Disability and Health	DH-7. Inappropriate medication use among older adults with disabilities (percent, ages 65 and over)	18.0	2009	13.9	2016	10.8	56.9	…	Yes
5	Disability and Health	DH-8. Adults with disabilities with barriers to health and wellness programs (age-adjusted percent, ages 18 and over)	76.8	2011	…		69.1	…	…	…
1	Disability and Health	DH-11. All occupied homes with a no-step entrance (percent)	42.1	2007	51.3	2017	46.3	219.0	…	…
2	Disability and Health	DH-12.1. Adults with disabilities living in congregate care facilities (number, ages 22 and over)	57,462	2008	39,705	2016	31,604	68.7	…	…
1	Disability and Health	DH-12.2. Children and youth with disabilities living in congregate care facilities (number, ages 21 years and under)	20,762	2009	13,399	2017	18,686	354.7	…	…
2	Disability and Health	DH-14. Inclusion of children and youth with disabilities in regular education programs (percent, ages 6–21 years)	56.8	2007–2008	63.5	2017–2018	73.8	39.4	…	…
1	Disability and Health	DH-15. Unemployment rate for persons with disabilities (percent, ages 16–64)	15.6	2009	8.7	2018	14.0	431.3	…	Yes
3	Disability and Health	DH-16. Employment rate for persons with disabilities (percent, ages 16–64)	29.7	2009	30.4	2018	32.7	23.3	…	No
3	Disability and Health	DH-17. Adults with disabilities receiving sufficient social and emotional support (age-adjusted percent, ages 18 and over)	69.5	2008	70.0	2010	76.5	7.1	…	No
1	Disability and Health	DH-18. Adults with disabilities with serious psychological distress (age-adjusted percent, ages 18 and over)	14.4	2010	12.3	2017	13.0	150.0	…	No
4	Disability and Health	DH-19. Persons with disabilities with nonfatal unintentional injuries requiring medical care (age-adjusted percent, ages 5 years and over)	5.7	2010	7.2	2017	5.1	…	26.3	Yes
1	Disability and Health	DH-20. Children with disabilities receiving early intervention services (percent, ages 0–2 years)	91.0	2007	97.2	2017	95.0	155.0	…	…
3	Early and Middle Childhood	EMC-2.2. Children who talk and share ideas with parents (percent, ages 6–17 years)	69.8	2007	70.4	2011–2012	76.8	8.6	...	No
3	Early and Middle Childhood	EMC-2.3. Children whose family reads to them every day (percent, ages 0–5 years)	47.8	2007	47.9	2011–2012	52.6	2.1	...	No
2	Early and Middle Childhood	EMC-2.4. Children whose doctor asked their parents about concerns regarding the child's development (percent, ages 0–5 years)	48.0	2007	51.8	2011–2012	52.8	79.2	...	Yes
3	Early and Middle Childhood	EMC-4.1.1. Elementary schools requiring newly hired staff who teach health topics to have training in health education (percent)	35.2	2006	36.2	2014	38.7	28.6	...	No
3	Early and Middle Childhood	EMC-4.1.2. Middle schools requiring newly hired staff who teach health topics to have training in health education (percent)	56.9	2006	54.0	2014	62.6	...	5.1	No
3	Early and Middle Childhood	EMC-4.1.3. High schools requiring newly hired staff who teach health topics to have training in health education (percent)	76.8	2006	70.6	2014	84.5	...	8.1	No
3	Early and Middle Childhood	EMC-4.2.1. Elementary schools requiring newly hired staff who teach health topics to be certified in health education (percent)	32.5	2006	29.6	2014	35.8	...	8.9	No
3	Early and Middle Childhood	EMC-4.2.2. Middle schools requiring newly hired staff who teach health topics to be certified in health education (percent)	50.7	2006	47.4	2014	55.8	...	6.5	No
3	Early and Middle Childhood	EMC-4.2.3. High schools requiring newly hired staff who teach health topics to be certified in health education (percent)	72.8	2006	73.1	2014	80.1	4.1	...	No
4	Early and Middle Childhood	EMC-4.3.1. Elementary schools requiring health education instruction to meet national standards for cumulative time (percent)	7.5	2006	1.7	2014	11.5	...	77.3	Yes
4	Early and Middle Childhood	EMC-4.3.2. Middle schools requiring health education instruction to meet national standards for cumulative time (percent)	10.3	2006	4.2	2014	14.3	...	59.2	Yes
3	Early and Middle Childhood	EMC-4.3.3. High schools requiring health education instruction to meet national standards for cumulative time (percent)	6.5	2006	5.5	2014	10.5	...	15.4	No
4	Early and Middle Childhood	EMC-4.4. Health education classes taught by a teacher who has had professional development related to teaching skills for behavior change in past 2 years (percent)	52.5	2006	41.2	2014	57.8	...	21.5	Yes
4	Educational and Community-Based Programs	ECBP-2.1. Schools providing health education in all priority areas (percent, grades K–12)	25.6	2006	20.5	2014	28.2	...	19.9	Yes
4	Educational and Community-Based Programs	ECBP-2.2. Schools providing health education to prevent unintentional injury (percent, grades K–12)	81.7	2006	69.2	2014	89.9	...	15.3	Yes
4	Educational and Community-Based Programs	ECBP-2.3. Schools providing health education to prevent violence (percent, grades grades K–12)	81.9	2006	77.3	2014	90.1	...	5.6	Yes
3	Educational and Community-Based Programs	ECBP-2.4. Schools providing health education to prevent suicide (percent, grades K–12)	43.9	2006	39.1	2014	48.3	...	10.9	No
4	Educational and Community-Based Programs	ECBP-2.5. Schools providing health education to prevent tobacco use and addiction (percent, grades K–12)	81.0	2006	65.7	2014	89.1	...	18.9	Yes
4	Educational and Community-Based Programs	ECBP-2.6. Schools providing health education to prevent alcohol and other drug use (percent, grades K–12)	81.7	2006	62.3	2014	89.9	...	23.7	Yes
4	Educational and Community-Based Programs	ECBP-2.7. Schools providing health education to prevent unintended pregnancy, HIV/AIDS, and STDs (percent, grades K–12)	39.3	2006	31.0	2014	43.2	...	21.1	Yes
